"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 03 13:11:03 GMT 2023","Wed May 03 13:11:05 GMT 2023","1759","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest2","TC04 - Register with username and password and try to login with wrong password","Verify that a user cannot login with wrong password after registration"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","4","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","LoginTest1",""
"passed","Wed May 03 13:09:32 GMT 2023","Wed May 03 13:09:52 GMT 2023","20579","","PaginationTest","","PaginationTest","CheckPreviousButtonOnFirstPageTest","TC24 - Checking if Previous Button is enabled on First Page","Verify that user cannot click on Previous Button on First Page"
"passed","Wed May 03 13:08:55 GMT 2023","Wed May 03 13:09:03 GMT 2023","8082","","PaginationTest","","PaginationTest","GetFirstPageNumberTest","TC19 - Checking First Page Button","Verify that when user clicks on First Page Button, the website loads the first page."
"passed","Wed May 03 13:11:06 GMT 2023","Wed May 03 13:11:07 GMT 2023","1121","","LoginRegisterTests","","LoginRegisterTests","LogoutTest","TC06 - Login with valid username and password and logout","Verify that a user can login with registered username/password and logout function also functions as required"
"passed","Wed May 03 13:08:30 GMT 2023","Wed May 03 13:08:32 GMT 2023","2106","","DataOperationsTest","","DataOperationsTest","DataReadTest3","TC14 - Read Comments And Related Data On About Page And Compare With File","Verify that Comments and related Data matches the predetermined data, and write data to file"
"passed","Thu Apr 13 16:43:18 GMT 2023","Thu Apr 13 16:43:24 GMT 2023","6744","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","Register with username and password and try to login with wrong password",""
"failed","Wed May 03 13:10:56 GMT 2023","Wed May 03 13:11:02 GMT 2023","5720","","LoginRegisterTests","","LoginRegisterTests","RegisterTest2","TC02 - Register with invalid e-mail addresses","Verify that a user cannot register with invalid e-mail addresses"
"broken","Wed May 03 13:09:29 GMT 2023","Wed May 03 13:09:32 GMT 2023","2933","","PaginationTest","","PaginationTest","CheckLastButtonOnLastPageTest","TC23 - Checking if Last Page Button is enabled on Last Page","Verify that user cannot click on Last Page Button on Last Page"
"passed","Wed May 03 13:09:17 GMT 2023","Wed May 03 13:09:26 GMT 2023","9114","","PaginationTest","","PaginationTest","GetLastPageNumberTest2","TC21 - Get The Maximum Number Of Pages With Pagination","Verify that Pagination function works when user wants to get the maximum number of Pages."
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","RegisterAndLoginTest",""
"passed","Wed May 03 13:08:44 GMT 2023","Wed May 03 13:08:55 GMT 2023","11513","","PaginationTest","","PaginationTest","ClickPreviousTest","TC18 - Checking Previous Button","Verify that when user clicks on Previous Button, the website loads the previous page."
"passed","Thu Apr 13 17:05:47 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","4861","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","Try to login with wrong username",""
"passed","Wed May 03 13:08:23 GMT 2023","Wed May 03 13:08:28 GMT 2023","4960","","DataOperationsTest","","DataOperationsTest","DataReadTest1","TC12 - Read Expertise Data On About Page And Compare With String","Verify that Expertise Data matches the predetermined data"
"passed","Wed May 03 13:09:03 GMT 2023","Wed May 03 13:09:17 GMT 2023","13645","","PaginationTest","","PaginationTest","ClickFirstPageTest","TC20 - Checking First Page Button On Another Page","Verify that when user clicks on First Page Button on the Second Page, the website loads the first page."
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","3","","DataOperationsTest","","DataOperationsTest","DataReadTest2","DataReadTest2",""
"passed","Wed May 03 13:11:13 GMT 2023","Wed May 03 13:11:15 GMT 2023","2043","","DataEntryTest","","DataEntryTest","RegisterAndProfileModificationTest","TC10 - Register, then modify profile","Verify that user can modify profile after registration"
"passed","Wed May 03 13:10:27 GMT 2023","Wed May 03 13:10:39 GMT 2023","11558","","PaginationTest","","PaginationTest","PaginationTest2","TC27 - Getting The Name Of Products While Iterating Over Pages","Verify that names of products matches the predetermined data"
"passed","Wed May 03 13:11:10 GMT 2023","Wed May 03 13:11:13 GMT 2023","3079","","DataEntryTest","","DataEntryTest","SerialRegisterTest","TC09 - Register more than one user from file","Verify that user can register more than one user with valid data"
"broken","Tue Apr 11 12:05:56 GMT 2023","Tue Apr 11 12:05:56 GMT 2023","19","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","RegisterTest",""
"passed","Wed May 03 13:11:02 GMT 2023","Wed May 03 13:11:03 GMT 2023","1472","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","TC03 - Register with username and password and login with registered parameters","Verify that user can login with given parameters after registration"
"passed","Wed May 03 13:11:15 GMT 2023","Wed May 03 13:11:17 GMT 2023","2070","","DataEntryTest","","DataEntryTest","RegisterAndDeleteProfileTest","TC11 - Register, then delete profile","Verify that user can delete the profile after registration"
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","20","","LoginRegisterTests","","LoginRegisterTests","RegisterTest1","RegisterTest1",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","LoginTest2",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","DataOperationsTest","","DataOperationsTest","DataReadTest1","DataReadTest1",""
"passed","Wed May 03 13:08:32 GMT 2023","Wed May 03 13:08:34 GMT 2023","1526","","PaginationTest","","PaginationTest","CheckFirstPage","TC15 - Checking If First Page Is Displayed","Verify that when user clicks on Portfolio, the first page appears"
"failed","Wed May 03 13:09:52 GMT 2023","Wed May 03 13:10:12 GMT 2023","19521","","PaginationTest","","PaginationTest","CheckFirstButtonOnFirstPageTest","TC25 - Checking if First Button is enabled on First Page","Verify that user cannot click on First Page Button on First Page"
"failed","Wed May 03 13:11:07 GMT 2023","Wed May 03 13:11:08 GMT 2023","1234","","DataEntryTest","","DataEntryTest","EmptyMessageTest","TC07 - Send message without parameters","Verify that website doesn't display 'Message Sent!' alert, if user doesn't fill out any field"
"passed","Wed May 03 13:10:39 GMT 2023","Wed May 03 13:10:54 GMT 2023","15751","","PaginationTest","","PaginationTest","PaginationTest3","TC28 - Getting The Number Of Blog Entries While Iterating Over Pages","Verify that Number of Blog Entries matches the requirements"
"passed","Wed May 03 13:08:34 GMT 2023","Wed May 03 13:08:41 GMT 2023","6927","","PaginationTest","","PaginationTest","ClickNextTest","TC16 - Checking If Click On Next Button Functions Perfectly","Verify that when user clicks on Next Button, the website loads the next page."
"passed","Wed May 03 13:11:08 GMT 2023","Wed May 03 13:11:10 GMT 2023","2009","","DataEntryTest","","DataEntryTest","ValidMessageTest","TC08 - Send message with parameters","Verify that website sends message, if all required fields are filled out"
"broken","Wed May 03 13:09:26 GMT 2023","Wed May 03 13:09:29 GMT 2023","2900","","PaginationTest","","PaginationTest","CheckNextButtonOnLastPageTest","TC22 - Checking if Next Button is enabled on Last Page","Verify that user cannot click on Next Button on Last Page"
"failed","Wed May 03 13:10:55 GMT 2023","Wed May 03 13:10:56 GMT 2023","1374","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","TC01 - Register without parameters","Verify that a user cannot register without parameters"
"passed","Wed May 03 13:08:28 GMT 2023","Wed May 03 13:08:30 GMT 2023","2312","","DataOperationsTest","","DataOperationsTest","DataReadTest2","TC13 - Read Members Data On About Page And Compare With List","Verify that Members Data matches the predetermined data"
"broken","Wed May 03 13:08:41 GMT 2023","Wed May 03 13:08:44 GMT 2023","2953","","PaginationTest","","PaginationTest","GetLastPageNumberTest","TC17 - Checking Last Page Button","Verify that when user clicks on Last Page Button, the website loads the last page."
"passed","Wed May 03 13:11:05 GMT 2023","Wed May 03 13:11:06 GMT 2023","870","","LoginRegisterTests","","LoginRegisterTests","LoginTest","TC05 - Try to login with wrong username","Verify that a user cannot login with wrong username"
"skipped","Thu Apr 13 17:05:51 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","0","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","Try to login with valid username and password",""
"broken","Mon Apr 10 16:58:49 GMT 2023","Mon Apr 10 16:58:49 GMT 2023","29","","LoginRegisterTests","","LoginRegisterTests","RegisterTestWithoutParameters","RegisterTestWithoutParameters",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","1","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","RegisterAndLoginTest1",""
"passed","Wed May 03 13:10:12 GMT 2023","Wed May 03 13:10:27 GMT 2023","15298","","PaginationTest","","PaginationTest","PaginationTest","TC26 - Getting The Number Of Products While Iterating Over Pages","Verify that Number of Products matches the requirements"
