"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","3","","DataOperationsTest","","DataOperationsTest","DataReadTest2","DataReadTest2",""
"passed","Thu May 04 15:08:08 GMT 2023","Thu May 04 15:08:29 GMT 2023","20336","","PaginationTest","","PaginationTest","CheckPreviousButtonOnFirstPageTest","TC24 - Checking if Previous Button is enabled on First Page","Verify that user cannot click on Previous Button on First Page"
"failed","Thu May 04 15:06:47 GMT 2023","Thu May 04 15:06:48 GMT 2023","1558","","DataEntryTest","","DataEntryTest","EmptyMessageTest","TC07 - Send message without parameters","Verify that website doesn't display 'Message Sent!' alert, if user doesn't fill out any field"
"passed","Thu May 04 15:07:29 GMT 2023","Thu May 04 15:07:49 GMT 2023","20138","","PaginationTest","","PaginationTest","CheckNextButtonOnLastPageTest","TC22 - Checking if Next Button is enabled on Last Page","Verify that user cannot click on Next Button on Last Page"
"passed","Thu May 04 15:06:53 GMT 2023","Thu May 04 15:06:54 GMT 2023","1657","","DataEntryTest","","DataEntryTest","RegisterAndProfileModificationTest","TC10 - Register, then modify profile","Verify that user can modify profile after registration"
"passed","Thu May 04 15:06:25 GMT 2023","Thu May 04 15:06:31 GMT 2023","5924","","DataOperationsTest","","DataOperationsTest","DataReadTest1","TC12 - Read Expertise Data On About Page And Compare With String","Verify that Expertise Data matches the predetermined data"
"passed","Thu May 04 15:06:59 GMT 2023","Thu May 04 15:07:07 GMT 2023","7805","","PaginationTest","","PaginationTest","GetFirstPageNumberTest","TC19 - Checking First Page Button","Verify that when user clicks on First Page Button, the website loads the first page."
"broken","Tue Apr 11 12:05:56 GMT 2023","Tue Apr 11 12:05:56 GMT 2023","19","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","RegisterTest",""
"passed","Thu May 04 15:08:48 GMT 2023","Thu May 04 15:09:03 GMT 2023","15005","","PaginationTest","","PaginationTest","PaginationTest","TC26 - Getting The Number Of Products While Iterating Over Pages","Verify that Number of Products matches the requirements"
"skipped","Thu Apr 13 17:05:51 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","0","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","Try to login with valid username and password",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","DataOperationsTest","","DataOperationsTest","DataReadTest1","DataReadTest1",""
"broken","Mon Apr 10 16:58:49 GMT 2023","Mon Apr 10 16:58:49 GMT 2023","29","","LoginRegisterTests","","LoginRegisterTests","RegisterTestWithoutParameters","RegisterTestWithoutParameters",""
"passed","Thu May 04 15:07:07 GMT 2023","Thu May 04 15:07:20 GMT 2023","13505","","PaginationTest","","PaginationTest","ClickFirstPageTest","TC20 - Checking First Page Button On Another Page","Verify that when user clicks on First Page Button on the Second Page, the website loads the first page."
"passed","Thu May 04 15:06:34 GMT 2023","Thu May 04 15:06:36 GMT 2023","2172","","DataOperationsTest","","DataOperationsTest","DataReadTest3","TC14 - Read Comments And Related Data On About Page And Compare With File","Verify that Comments and related Data matches the predetermined data, and write data to file"
"failed","Thu May 04 15:06:36 GMT 2023","Thu May 04 15:06:37 GMT 2023","1235","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","TC01 - Register without parameters","Verify that a user cannot register without parameters"
"passed","Thu May 04 15:06:50 GMT 2023","Thu May 04 15:06:53 GMT 2023","2468","","DataEntryTest","","DataEntryTest","SerialRegisterTest","TC09 - Register more than one user from file","Verify that user can register more than one user with valid data"
"passed","Thu May 04 15:06:31 GMT 2023","Thu May 04 15:06:38 GMT 2023","7521","","PaginationTest","","PaginationTest","ClickNextTest","TC16 - Checking If Click On Next Button Functions Perfectly","Verify that when user clicks on Next Button, the website loads the next page."
"passed","Thu May 04 15:06:46 GMT 2023","Thu May 04 15:06:47 GMT 2023","1063","","LoginRegisterTests","","LoginRegisterTests","LogoutTest","TC06 - Login with valid username and password and logout","Verify that a user can login with registered username/password and logout function also functions as required"
"passed","Thu May 04 15:06:54 GMT 2023","Thu May 04 15:06:56 GMT 2023","1924","","DataEntryTest","","DataEntryTest","RegisterAndDeleteProfileTest","TC11 - Register, then delete profile","Verify that user can delete the profile after registration"
