"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 04 16:46:28 GMT 2023","Thu May 04 16:46:34 GMT 2023","5506","","LoginRegisterTests","","LoginRegisterTests","RegisterTest2","TC02 - Register with invalid e-mail addresses","Verify that a user cannot register with invalid e-mail addresses"
"passed","Thu May 04 16:46:38 GMT 2023","Thu May 04 16:46:39 GMT 2023","1189","","LoginRegisterTests","","LoginRegisterTests","LogoutTest","TC06 - Login with valid username and password and logout","Verify that a user can login with registered username/password and logout function also functions as required"
"failed","Thu May 04 16:44:44 GMT 2023","Thu May 04 16:45:04 GMT 2023","19582","","PaginationTest","","PaginationTest","CheckLastButtonOnLastPageTest","TC23 - Checking if Last Page Button is enabled on Last Page","Verify that user cannot click on Last Page Button on Last Page"
"passed","Thu May 04 16:45:59 GMT 2023","Thu May 04 16:46:11 GMT 2023","11677","","PaginationTest","","PaginationTest","PaginationTest2","TC27 - Getting The Name Of Products While Iterating Over Pages","Verify that names of products matches the predetermined data"
"passed","Thu May 04 16:43:21 GMT 2023","Thu May 04 16:43:24 GMT 2023","2516","","DataOperationsTest","","DataOperationsTest","DataReadTest3","TC14 - Read Comments And Related Data On About Page And Compare With File","Verify that Comments and related Data matches the predetermined data, and write data to file"
"passed","Thu May 04 16:46:41 GMT 2023","Thu May 04 16:46:43 GMT 2023","1971","","DataEntryTest","","DataEntryTest","ValidMessageTest","TC08 - Send message with parameters","Verify that website sends message, if all required fields are filled out"
"passed","Thu May 04 16:44:24 GMT 2023","Thu May 04 16:44:44 GMT 2023","20394","","PaginationTest","","PaginationTest","CheckNextButtonOnLastPageTest","TC22 - Checking if Next Button is enabled on Last Page","Verify that user cannot click on Next Button on Last Page"
"passed","Thu May 04 16:46:11 GMT 2023","Thu May 04 16:46:27 GMT 2023","15998","","PaginationTest","","PaginationTest","PaginationTest3","TC28 - Getting The Number Of Blog Entries While Iterating Over Pages","Verify that Number of Blog Entries matches the requirements"
"passed","Thu May 04 16:46:48 GMT 2023","Thu May 04 16:46:50 GMT 2023","2031","","DataEntryTest","","DataEntryTest","RegisterAndDeleteProfileTest","TC11 - Register, then delete profile","Verify that user can delete the profile after registration"
"passed","Thu Apr 13 16:43:18 GMT 2023","Thu Apr 13 16:43:24 GMT 2023","6744","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","Register with username and password and try to login with wrong password",""
"passed","Thu May 04 16:46:43 GMT 2023","Thu May 04 16:46:46 GMT 2023","2982","","DataEntryTest","","DataEntryTest","SerialRegisterTest","TC09 - Register more than one user from file","Verify that user can register more than one user with valid data"
"passed","Thu May 04 16:45:44 GMT 2023","Thu May 04 16:45:59 GMT 2023","15252","","PaginationTest","","PaginationTest","PaginationTest","TC26 - Getting The Number Of Products While Iterating Over Pages","Verify that Number of Products matches the requirements"
"broken","Tue Apr 11 12:05:56 GMT 2023","Tue Apr 11 12:05:56 GMT 2023","19","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","RegisterTest",""
"passed","Thu Apr 13 17:05:47 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","4861","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","Try to login with wrong username",""
"passed","Thu May 04 16:43:19 GMT 2023","Thu May 04 16:43:21 GMT 2023","2422","","DataOperationsTest","","DataOperationsTest","DataReadTest2","TC13 - Read Members Data On About Page And Compare With List","Verify that Members Data matches the predetermined data"
"passed","Thu May 04 16:46:46 GMT 2023","Thu May 04 16:46:48 GMT 2023","2152","","DataEntryTest","","DataEntryTest","RegisterAndProfileModificationTest","TC10 - Register, then modify profile","Verify that user can modify profile after registration"
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","20","","LoginRegisterTests","","LoginRegisterTests","RegisterTest1","RegisterTest1",""
"skipped","Thu Apr 13 17:05:51 GMT 2023","Thu Apr 13 17:05:51 GMT 2023","0","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","Try to login with valid username and password",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","RegisterAndLoginTest",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","LoginTest2",""
"passed","Thu May 04 16:43:52 GMT 2023","Thu May 04 16:44:01 GMT 2023","8503","","PaginationTest","","PaginationTest","GetFirstPageNumberTest","TC19 - Checking First Page Button","Verify that when user clicks on First Page Button, the website loads the first page."
"passed","Thu May 04 16:43:41 GMT 2023","Thu May 04 16:43:52 GMT 2023","11479","","PaginationTest","","PaginationTest","ClickPreviousTest","TC18 - Checking Previous Button","Verify that when user clicks on Previous Button, the website loads the previous page."
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","4","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","LoginTest1",""
"passed","Thu May 04 16:46:35 GMT 2023","Thu May 04 16:46:37 GMT 2023","1699","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest2","TC04 - Register with username and password and try to login with wrong password","Verify that a user cannot login with wrong password after registration"
"passed","Thu May 04 16:43:24 GMT 2023","Thu May 04 16:43:25 GMT 2023","1616","","PaginationTest","","PaginationTest","CheckFirstPage","TC15 - Checking If First Page Is Displayed","Verify that when user clicks on Portfolio, the first page appears"
"passed","Thu May 04 16:43:32 GMT 2023","Thu May 04 16:43:41 GMT 2023","8506","","PaginationTest","","PaginationTest","GetLastPageNumberTest","TC17 - Checking Last Page Button","Verify that when user clicks on Last Page Button, the website loads the last page."
"passed","Thu May 04 16:46:37 GMT 2023","Thu May 04 16:46:38 GMT 2023","871","","LoginRegisterTests","","LoginRegisterTests","LoginTest","TC05 - Try to login with wrong username","Verify that a user cannot login with wrong username"
"passed","Thu May 04 16:44:15 GMT 2023","Thu May 04 16:44:24 GMT 2023","9132","","PaginationTest","","PaginationTest","GetLastPageNumberTest2","TC21 - Get The Maximum Number Of Pages With Pagination","Verify that Pagination function works when user wants to get the maximum number of Pages."
"passed","Thu May 04 16:44:01 GMT 2023","Thu May 04 16:44:15 GMT 2023","13811","","PaginationTest","","PaginationTest","ClickFirstPageTest","TC20 - Checking First Page Button On Another Page","Verify that when user clicks on First Page Button on the Second Page, the website loads the first page."
"broken","Mon Apr 10 16:58:49 GMT 2023","Mon Apr 10 16:58:49 GMT 2023","29","","LoginRegisterTests","","LoginRegisterTests","RegisterTestWithoutParameters","RegisterTestWithoutParameters",""
"failed","Thu May 04 16:46:27 GMT 2023","Thu May 04 16:46:28 GMT 2023","1453","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","TC01 - Register without parameters","Verify that a user cannot register without parameters"
"failed","Thu May 04 16:46:39 GMT 2023","Thu May 04 16:46:41 GMT 2023","1486","","DataEntryTest","","DataEntryTest","EmptyMessageTest","TC07 - Send message without parameters","Verify that website doesn't display 'Message Sent!' alert, if user doesn't fill out any field"
"passed","Thu May 04 16:43:25 GMT 2023","Thu May 04 16:43:32 GMT 2023","7074","","PaginationTest","","PaginationTest","ClickNextTest","TC16 - Checking If Click On Next Button Functions Perfectly","Verify that when user clicks on Next Button, the website loads the next page."
"passed","Thu May 04 16:46:34 GMT 2023","Thu May 04 16:46:35 GMT 2023","1475","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","TC03 - Register with username and password and login with registered parameters","Verify that user can login with given parameters after registration"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","3","","DataOperationsTest","","DataOperationsTest","DataReadTest2","DataReadTest2",""
"failed","Thu May 04 16:45:24 GMT 2023","Thu May 04 16:45:44 GMT 2023","19600","","PaginationTest","","PaginationTest","CheckFirstButtonOnFirstPageTest","TC25 - Checking if First Button is enabled on First Page","Verify that user cannot click on First Page Button on First Page"
"passed","Thu May 04 16:45:04 GMT 2023","Thu May 04 16:45:24 GMT 2023","20612","","PaginationTest","","PaginationTest","CheckPreviousButtonOnFirstPageTest","TC24 - Checking if Previous Button is enabled on First Page","Verify that user cannot click on Previous Button on First Page"
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","DataOperationsTest","","DataOperationsTest","DataReadTest1","DataReadTest1",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","1","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","RegisterAndLoginTest1",""
"passed","Thu May 04 16:43:13 GMT 2023","Thu May 04 16:43:19 GMT 2023","5852","","DataOperationsTest","","DataOperationsTest","DataReadTest1","TC12 - Read Expertise Data On About Page And Compare With String","Verify that Expertise Data matches the predetermined data"
