"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 02:57:58 GMT 2023","Tue May 02 02:58:00 GMT 2023","1565","","DataEntryTest","","DataEntryTest","RegisterAndDeleteProfileTest","Register, then delete profile",""
"passed","Tue May 02 02:57:53 GMT 2023","Tue May 02 02:57:54 GMT 2023","1461","","DataEntryTest","","DataEntryTest","ValidMessageTest","Send message with parameters",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","1","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","RegisterAndLoginTest1",""
"passed","Tue May 02 02:57:50 GMT 2023","Tue May 02 02:57:51 GMT 2023","1042","","LoginRegisterTests","","LoginRegisterTests","LogoutTest","Login with valid username and password and logout",""
"passed","Thu Apr 13 16:43:18 GMT 2023","Thu Apr 13 16:43:24 GMT 2023","6744","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","Register with username and password and try to login with wrong password",""
"passed","Tue May 02 02:57:50 GMT 2023","Tue May 02 02:57:50 GMT 2023","712","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","Try to login with wrong username",""
"passed","Tue May 02 02:57:17 GMT 2023","Tue May 02 02:57:32 GMT 2023","14987","","PaginationTest","","PaginationTest","PaginationTest","Getting The Number Of Products While Iterating Over Pages",""
"broken","Tue May 02 02:56:33 GMT 2023","Tue May 02 02:56:36 GMT 2023","2696","","PaginationTest","","PaginationTest","CheckNextButtonOnLastPageTest","Checking if Next Button is enabled on Last Page",""
"passed","Tue May 02 02:57:49 GMT 2023","Tue May 02 02:57:50 GMT 2023","1028","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest2","Register with username and password and try to login with wrong password",""
"passed","Tue May 02 02:57:56 GMT 2023","Tue May 02 02:57:58 GMT 2023","1653","","DataEntryTest","","DataEntryTest","RegisterAndProfileModificationTest","Register, then modify profile",""
"passed","Tue May 02 02:56:00 GMT 2023","Tue May 02 02:56:05 GMT 2023","4881","","PaginationTest","","PaginationTest","ClickPreviousTest","Checking If Click On Previous Button Functions Perfectly",""
"failed","Tue May 02 02:57:44 GMT 2023","Tue May 02 02:57:44 GMT 2023","765","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","Register without parameters",""
"broken","Tue May 02 02:55:58 GMT 2023","Tue May 02 02:56:00 GMT 2023","2671","","PaginationTest","","PaginationTest","GetLastPageNumberTest","Checking If Click On Last Button Functions Perfectly",""
"passed","Tue May 02 02:57:47 GMT 2023","Tue May 02 02:57:49 GMT 2023","1219","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest1","Register with username and password and login with registered parameters",""
"failed","Tue May 02 02:56:59 GMT 2023","Tue May 02 02:57:17 GMT 2023","18900","","PaginationTest","","PaginationTest","CheckFirstButtonOnFirstPageTest","Checking if First Button is enabled on First Page",""
"passed","Tue May 02 02:55:53 GMT 2023","Tue May 02 02:55:58 GMT 2023","4826","","PaginationTest","","PaginationTest","ClickNextTest","Checking If Click On Next Button Functions Perfectly",""
"skipped","Tue May 02 02:57:50 GMT 2023","Tue May 02 02:57:50 GMT 2023","0","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","Try to login with valid username and password",""
"passed","Tue May 02 02:55:48 GMT 2023","Tue May 02 02:55:49 GMT 2023","1730","","DataOperationsTest","","DataOperationsTest","DataReadTest2","Read Members Data On About Page Test And Compare With List",""
"passed","Tue May 02 02:56:13 GMT 2023","Tue May 02 02:56:24 GMT 2023","11290","","PaginationTest","","PaginationTest","ClickFirstPageTest","Checking If Click On First Page Button Directs To First Page",""
"broken","Mon Apr 10 16:58:49 GMT 2023","Mon Apr 10 16:58:49 GMT 2023","29","","LoginRegisterTests","","LoginRegisterTests","RegisterTestWithoutParameters","RegisterTestWithoutParameters",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","4","","LoginRegisterTests","","LoginRegisterTests","LoginTest1","LoginTest1",""
"broken","Tue Apr 11 12:05:56 GMT 2023","Tue Apr 11 12:05:56 GMT 2023","19","","LoginRegisterTests","","LoginRegisterTests","RegisterTest","RegisterTest",""
"passed","Tue May 02 02:55:51 GMT 2023","Tue May 02 02:55:53 GMT 2023","1460","","PaginationTest","","PaginationTest","CheckFirstPage","Checking If First Page Is Displayed",""
"passed","Tue May 02 02:57:32 GMT 2023","Tue May 02 02:57:44 GMT 2023","11081","","PaginationTest","","PaginationTest","PaginationTest2","Getting The Name Of Products While Iterating Over Pages",""
"passed","Tue May 02 02:55:43 GMT 2023","Tue May 02 02:55:48 GMT 2023","4392","","DataOperationsTest","","DataOperationsTest","DataReadTest1","Read Expertise Data On About Page Test And Compare With String",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","LoginTest2","LoginTest2",""
"failed","Tue May 02 02:57:44 GMT 2023","Tue May 02 02:57:47 GMT 2023","3119","","LoginRegisterTests","","LoginRegisterTests","RegisterTest2","Register with invalid e-mail addresses",""
"passed","Tue May 02 02:56:05 GMT 2023","Tue May 02 02:56:13 GMT 2023","7751","","PaginationTest","","PaginationTest","GetFirstPageNumberTest","Checking If Click On First Button Functions Perfectly",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","DataOperationsTest","","DataOperationsTest","DataReadTest1","DataReadTest1",""
"passed","Tue May 02 02:56:39 GMT 2023","Tue May 02 02:56:59 GMT 2023","19728","","PaginationTest","","PaginationTest","CheckPreviousButtonOnFirstPageTest","Checking if Previous Button is enabled on First Page",""
"broken","Tue May 02 02:56:36 GMT 2023","Tue May 02 02:56:39 GMT 2023","2705","","PaginationTest","","PaginationTest","CheckLastButtonOnLastPageTest","Checking if Last Button is enabled on Last Page",""
"passed","Tue May 02 02:57:54 GMT 2023","Tue May 02 02:57:56 GMT 2023","2061","","DataEntryTest","","DataEntryTest","SerialRegisterTest","Register more than one use from file",""
"passed","Tue May 02 02:56:24 GMT 2023","Tue May 02 02:56:33 GMT 2023","9121","","PaginationTest","","PaginationTest","GetLastPageNumberTest2","Get The Maximum Number Of Pages With Another Method",""
"broken","Tue May 02 02:57:51 GMT 2023","Tue May 02 02:57:53 GMT 2023","1334","","DataEntryTest","","DataEntryTest","EmptyMessageTest","Send message without parameters",""
"passed","Tue May 02 02:55:49 GMT 2023","Tue May 02 02:55:51 GMT 2023","1922","","DataOperationsTest","","DataOperationsTest","DataReadTest3","Read Comments And Related Data On About Page And Compare With File",""
"broken","Mon Apr 10 17:35:03 GMT 2023","Mon Apr 10 17:35:03 GMT 2023","20","","LoginRegisterTests","","LoginRegisterTests","RegisterTest1","RegisterTest1",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","3","","DataOperationsTest","","DataOperationsTest","DataReadTest2","DataReadTest2",""
"broken","Tue Apr 11 09:26:38 GMT 2023","Tue Apr 11 09:26:38 GMT 2023","2","","LoginRegisterTests","","LoginRegisterTests","RegisterAndLoginTest","RegisterAndLoginTest",""
